Murrunkan-1,Pavattakulam-1,Nachchiduva-1,Vavniya-1,Mannr-1,Apura-1,Kappachichiya-1,Murrunkan,Pavattakulam,Nachchiduva,Vavniya,Mannr,Apura,Kappachichiya
0,0,0,0,0,0,1.49,0,0,0,0,0,0,0.0176
0,0,0,0,0,0,1.76,0,0,0,0,0,0,0.0189
0,0,0,0,0,0,1.89,0,0,0,0,0,0,0.0192
0,0,0,0,0,0,1.92,0,0,0,0,0,0,0.019
0,0,0,0,0,0,1.9,0,0,0,66.1,0,0,0.017
0,0,0,66.1,0,0,1.7,0,2,0,15.9,0,9.9,0.0129
0,2,0,15.9,0,9.9,1.29,0,0,0,0,0,0,0.0129
0,0,0,0,0,0,1.29,0,0,0,0,0,0,0.0152
0,0,0,0,0,0,1.52,0,0,0,0,0,0,0.0343
0,0,0,0,0,0,3.43,0,0,0,0,0,2.2,0.0201
0,0,0,0,0,2.2,2.01,0,30,50.08,0,0,0,0.0122
0,30,50.08,0,0,0,1.22,0,0,22.76,0,0,0,0.0256
0,0,22.76,0,0,0,2.56,0,0,0,0,0,0,0.0289
0,0,0,0,0,0,2.89,0,2,0,0.3,0,0,0.016
0,2,0,0.3,0,0,1.6,0,0,0,0,0,0,0.0116
0,0,0,0,0,0,1.16,0,0,0,0,0,0,0.0117
0,0,0,0,0,0,1.17,0,0,0,0,0,0,0.0076
0,0,0,0,0,0,0.76,0,0,0,0,0,0,0.0065
0,0,0,0,0,0,0.65,0,0,0,0,0,0,0.0055
0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.0048
0,0,0,0,0,0,0.48,0,0,0,0,0,0,0.0044
0,0,0,0,0,0,0.44,0,0,0,0,0,0,0.0043
0,0,0,0,0,0,0.43,0,0,0,0,0,0,0.0038
0,0,0,0,0,0,0.38,0,0,0,0,0,0,0.0038
0,0,0,0,0,0,0.38,0,0,0,0,0,0,0.0035
0,0,0,0,0,0,0.35,0,0,0,0,0,0,0.0034
0,0,0,0,0,0,0.34,0,0,0,0,0,0,0.0032
0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.0031
0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.0032
0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.0031
0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.003
0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.0027
0,0,0,0,0,0,0.27,0,0,0,0,0,0,0.0025
0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.0025
0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.0025
0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.0025
0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.0025
0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.0025
0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.0029
0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.0037
0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.0029
0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.0038
0,0,0,0,0,0,0.38,0,0,0,2.4,0,0,0.0051
0,0,0,2.4,0,0,0.51,0,0,0,0,0,0,0.0049
0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.0037
0,0,0,0,0,0,0.37,0,0,0,13,0,0,0.0033
0,0,0,13,0,0,0.33,0,0,0,0,0,0,0.0029
0,0,0,0,0,0,0.29,0,10,0,0.3,0,0,0.0027
